ID|Department|Num|Title|Units|Description
ACCT2110|ACCT|2110|Introductory Accounting I|3|Fundamentals of recording, analyzing, and communicating financial information including income determination, assets and liability relationships and preparation of financial statements. Previously offered as ACCT 211.
ACCT2120|ACCT|2120|Introductory Accounting II|3|Semester Prerequisite:  ACCT 2110. Quarter Prerequisite: ACCT 211Continuation of Introductory Accounting I with emphasis on Analysis of accounting methods providing data for optimal managerial decisions, implementation and control. Topics include cost allocation; cost, volume and price relationships; product cost accounting and control systems; operations and capital budgeting, and related behavioral, reporting and information processing aspects. Previously offered as ACCT 212.
ACCT3150|ACCT|3150|Accounting Information Systems and Business Ethics|3|Introduction to the concepts, objectives and importance of properly designed accounting information systems and professional ethics. Extensive study of internal controls including systems documentation. Materials fee required. Previously offered as ACCT 315.
ACCT3470|ACCT|3470|Management Accounting and Ethics in Business|3|Overview of techniques to facilitate business decision-making and professional ethics in business. Models include break-even analysis, differential costing, product cost pricing analyses, capital budgeting and investment analysis techniques. The role of budgeting in management planning and control and an examination of cost and revenue variances. Transfer pricing, management compensation and performance evaluation are reviewed in both domestic and international situations. Formerly offered as ACCT 347.
ACCT3720|ACCT|3720|Intermediate Accounting I|3|Semester Prerequisite:  ACCT 2110 and ACCT 2120. Quarter Prerequisite: ACCT 211 and ACCT 212First of a two-course sequence covering an in-depth study of financial accounting topics, including accounting valuation and reporting practices. Three major areas examined include financial accounting theory, current and noncurrent assets, and current and noncurrent liabilities. Formerly ACCT 372.
ACCT3730|ACCT|3730|Intermediate Accounting II|3|Semester Prerequisite:  ACCT 3720. Quarter Prerequisite: ACCT 372Continuation of ACCT 3720 with emphasis on financial accounting areas including stockholders equity, dilutive securities, investments, income measurement issues, and the preparation and analysis of financial statements. Formerly ACCT 373.
ACCT4260|ACCT|4260|Introduction to Taxation|3|Semester Prerequisite:  ACCT 2110 and junior standing. Quarter Prerequisite: ACCT 211 and junior standingIntroduction to the basic concepts of federal income taxation. Includes history and objectives of the tax, along with the treatment of various types of entities, types of income, types of deductions and types of credits. Emphasis is on the individual as a taxpayer. Formerly offered as ACCT 426.
ACCT4400|ACCT|4400|Financial Statement Auditing|3|Semester Prerequisite:  ACCT 3150 and ACCT 3730. Quarter Prerequisite: ACCT 315, ACCT 373, and the upper-division writing requirementTheory and function of the auditor, viewed from the perspective of public accounting. Topics will include standard audit reports, assessing audit risk, auditors' legal liabilities, tests of controls, and audit evidence. Generally accepted auditing standards will be critically examined. Materials fee required. Formerly offered as ACCT 440.
ACCT5200|ACCT|5200|Forensic Accounting I|3|Semester Prerequisite:  ACCT 3730This course provides an overview of Forensic Accounting knowledge, skills, and responsibilities needed for career development in the field. It also covers the ethical and legal environment in which professionals practice. Topics include Fraud, Bankruptcy, Digital Forensics, Family Law, Economic Damages and Business Valuations.
ACCT5360|ACCT|5360|Corporate and Partnership Taxation|3|Semester Prerequisite:  ACCT 4260. Quarter Prerequisite: ACCT 426The basic concepts and basic tax forms of the federal income taxation of corporations and partnerships. Includes an introduction to tax research. Formerly offered as ACCT 536.
