ID_Original|ID_Required
ACCT2120|ACCT2110
ACCT3720|ACCT2110
ACCT3720|ACCT2120
ACCT3730|ACCT3720
ACCT3730|ACCT3720
ACCT4260|ACCT2110
ACCT4400|ACCT3150
ACCT4400|ACCT3730
ACCT5360|ACCT4260
ACCT5390|ACCT3730
ACCT5410|ACCT4400
ACCT5440|MGMT2300
ACCT5470|ACCT3470
ACCT5560|ACCT4260
ACCT5560|ACCT4260
ACCT5680|ACCT2110
ACCT6150|ACCT6060
ASL1112|ASL1111
ANTH3600|ANTH1002
ANTH4500|ANTH3501
ANTH4550|ANTH4550
ANTH4550|HIST4550
ANTH5000|ANTH3600
ANTH5951|ANTH5951
ANTH5952|ANTH5951
ANTH5953|ANTH5951
ANTH5954|ANTH5951
ARAB1102|ARAB1111
ARAB1102|ARAB1112
ARAB1102|ARAB1112
ARAB1112|ARAB1111
ARAB2111|ARAB1112
ARAB2111|ARAB1151
ARAB2112|ARAB1112
ARAB2112|ARAB1102
ARAB2112|ARAB1151
ARAB2112|ARAB1152
ARAB2113|ARAB1112
ARAB2113|ARAB1102
ARAB2113|ARAB1151
ARAB2113|ARAB1152
ARAB2114|ARAB1112
ARAB2114|ARAB1102
ARAB2114|ARAB1151
ARAB2114|ARAB1152
ARAB3111|ARAB2111
ARAB3112|ARAB2111
ARAB3113|ARAB2111
ARAB3114|ARAB2111
ARAB3115|ARAB2111
ARAB3116|ARAB2111
ARAB3116|ARAB2112
ARAB3116|ARAB2113
ARAB3116|ARAB2114
ARAB3117|ARAB2114
ARAB3150|ARAB1112
ARAB3150|ARAB1151
ARAB3160|ARAB1112
ARAB4113|ARAB3111
ART3260|ART2260
ART3290|ART2290
ART3320|ART2320
ART3330|ART2330
ART3350|ART2350
ART3430|ART1140
ART3710|ART1140
ART3730|ART1130
ART4160|ART3160
ART4260|ART3260
ART4260|ART3265
ART4260|ART3710
ART4290|ART3290
ART4320|ART3320
ART4330|ART3330
ART4350|ART3350
ART4370|ART3370
ART4530|ART1150
ART5751|ART5750
ART5752|ART5750
ART5753|ART5750
ART6695|ART6630
BIOL2010|CHEM2100
BIOL2010|BIOL2020
BIOL2020|BIOL2010
BIOL2020|BIOL2010
BIOL2200|BIOL1000
BIOL3030|BIOL3030
BIOL3030|GEOL3030
BIOL3100|BIOL2020
BIOL3100|CHEM2300
BIOL3100|CHEM2400
