ID_Original|ID_Required
ACCT 2120|ACCT 2110
ACCT 3720|ACCT 2110
ACCT 3720|ACCT 2120
ACCT 3730|ACCT 3720
ACCT 3730|ACCT 3720
ACCT 4260|ACCT 2110
ACCT 4400|ACCT 3150
ACCT 4400|ACCT 3730
ACCT 5360|ACCT 4260
ACCT 5390|ACCT 3730
ACCT 5410|ACCT 4400
ACCT 5440|MGMT 2300
ACCT 5470|ACCT 3470
ACCT 5560|ACCT 4260
ACCT 5560|ACCT 4260
ACCT 5680|ACCT 2110
ACCT 6150|ACCT 6060
ASL 1112|ASL 1111
ANTH 3600|ANTH 1002
ANTH 4500|ANTH 3501
ANTH 4550|ANTH 4550
ANTH 4550|HIST 4550
ANTH 5000|ANTH 3600
ANTH 5951|ANTH 5951
ANTH 5952|ANTH 5951
ANTH 5953|ANTH 5951
ANTH 5954|ANTH 5951
ARAB 1102|ARAB 1111
ARAB 1102|ARAB 1112
ARAB 1102|ARAB 1112
ARAB 1112|ARAB 1111
ARAB 2111|ARAB 1112
ARAB 2111|ARAB 1151
ARAB 2112|ARAB 1112
ARAB 2112|ARAB 1102
ARAB 2112|ARAB 1151
ARAB 2112|ARAB 1152
ARAB 2113|ARAB 1112
ARAB 2113|ARAB 1102
ARAB 2113|ARAB 1151
ARAB 2113|ARAB 1152
ARAB 2114|ARAB 1112
ARAB 2114|ARAB 1102
ARAB 2114|ARAB 1151
ARAB 2114|ARAB 1152
ARAB 3111|ARAB 2111
ARAB 3112|ARAB 2111
ARAB 3113|ARAB 2111
ARAB 3114|ARAB 2111
ARAB 3115|ARAB 2111
ARAB 3116|ARAB 2111
ARAB 3116|ARAB 2112
ARAB 3116|ARAB 2113
ARAB 3116|ARAB 2114
ARAB 3117|ARAB 2114
ARAB 3150|ARAB 1112
ARAB 3150|ARAB 1151
ARAB 3160|ARAB 1112
ARAB 4113|ARAB 3111
ART 3260|ART 2260
ART 3290|ART 2290
ART 3320|ART 2320
ART 3330|ART 2330
ART 3350|ART 2350
ART 3430|ART 1140
ART 3710|ART 1140
ART 3730|ART 1130
ART 4160|ART 3160
ART 4260|ART 3260
ART 4260|ART 3265
ART 4260|ART 3710
ART 4290|ART 3290
ART 4320|ART 3320
ART 4330|ART 3330
ART 4350|ART 3350
ART 4370|ART 3370
ART 4530|ART 1150
ART 5751|ART 5750
ART 5752|ART 5750
