ID|ID_Course|ID_Room|ID_Building|ID_Instructor|Start_Time|End_Time|Days|Max_Cap|Max_Wait
1|1|757|40|65|14:00:00|18:00:00|1|30|20
2|1|498|41|43|13:00:00|11:00:00|1|30|20
3|2|360|23|87|15:00:00|13:00:00|1|30|20
4|3|710|39|72|10:00:00|19:00:00|1|30|20
5|3|97|24|88|12:00:00|11:00:00|1|30|20
6|4|11|38|114|14:00:00|11:00:00|1|30|20
7|5|494|24|3|13:00:00|12:00:00|1|30|20
8|5|685|46|1|11:00:00|17:00:00|1|30|20
9|6|383|36|47|20:00:00|13:00:00|1|30|20
10|7|437|36|111|9:00:00|13:00:00|1|30|20
11|8|2|1|107|14:00:00|13:00:00|1|30|20
12|8|679|45|69|17:00:00|20:00:00|1|30|20
13|9|6|6|44|11:00:00|17:00:00|1|30|20
14|10|224|12|69|13:00:00|13:00:00|1|30|20
15|10|63|10|103|17:00:00|14:00:00|1|30|20
16|11|292|32|11|18:00:00|12:00:00|1|30|20
17|11|437|35|115|13:00:00|14:00:00|1|30|20
18|12|386|42|90|20:00:00|14:00:00|1|30|20
19|12|449|40|109|12:00:00|14:00:00|1|30|20
20|13|3|36|48|18:00:00|10:00:00|1|30|20
21|13|71|20|98|9:00:00|14:00:00|1|30|20
22|14|644|45|76|19:00:00|14:00:00|1|30|20
23|14|510|31|59|19:00:00|15:00:00|1|30|20
24|15|343|27|60|10:00:00|10:00:00|1|30|20
25|15|83|39|72|16:00:00|13:00:00|1|30|20
26|16|441|31|107|14:00:00|13:00:00|1|30|20
27|17|239|15|37|10:00:00|9:00:00|1|30|20
28|18|221|13|44|13:00:00|13:00:00|1|30|20
29|19|342|19|79|20:00:00|11:00:00|1|30|20
30|20|1061|45|111|9:00:00|13:00:00|1|30|20
31|21|405|35|115|16:00:00|10:00:00|1|30|20
32|21|526|39|83|13:00:00|17:00:00|1|30|20
33|22|126|29|51|18:00:00|13:00:00|1|30|20
34|23|676|29|102|18:00:00|11:00:00|1|30|20
35|24|373|29|107|19:00:00|20:00:00|1|30|20
36|25|484|45|23|13:00:00|14:00:00|1|30|20
37|26|62|6|87|16:00:00|10:00:00|1|30|20
38|27|528|38|44|14:00:00|9:00:00|1|30|20
39|27|291|24|5|20:00:00|19:00:00|1|30|20
40|28|975|45|84|16:00:00|14:00:00|1|30|20
41|29|14|18|116|15:00:00|11:00:00|1|30|20
42|29|54|35|8|13:00:00|17:00:00|1|30|20
43|30|894|43|25|10:00:00|18:00:00|1|30|20
44|31|152|44|120|15:00:00|13:00:00|1|30|20
45|32|683|30|74|19:00:00|16:00:00|1|30|20
46|33|139|40|117|10:00:00|15:00:00|1|30|20
47|34|1022|45|110|19:00:00|19:00:00|1|30|20
48|34|504|44|119|11:00:00|9:00:00|1|30|20
49|35|429|29|17|10:00:00|17:00:00|1|30|20
50|36|217|39|25|13:00:00|20:00:00|1|30|20
51|37|449|46|64|15:00:00|19:00:00|1|30|20
52|37|341|23|32|13:00:00|19:00:00|1|30|20
53|38|423|19|81|9:00:00|19:00:00|1|30|20
54|39|828|39|97|12:00:00|14:00:00|1|30|20
55|40|79|7|59|9:00:00|18:00:00|1|30|20
56|41|468|39|60|16:00:00|10:00:00|1|30|20
57|42|612|39|56|15:00:00|11:00:00|1|30|20
58|42|663|33|49|17:00:00|11:00:00|1|30|20
59|43|336|27|80|17:00:00|16:00:00|1|30|20
60|43|493|36|62|15:00:00|11:00:00|1|30|20
61|44|78|16|85|20:00:00|14:00:00|1|30|20
62|45|769|42|106|9:00:00|16:00:00|1|30|20
63|45|463|42|34|18:00:00|19:00:00|1|30|20
64|46|197|25|100|17:00:00|14:00:00|1|30|20
65|47|335|45|29|17:00:00|11:00:00|1|30|20
